Player 1,Player 2,P1 Char,P2 Char,Round,Date
Klazker,cod,Ike,Bowser,Winners Round 1,11/15/2017
Correian,BABOONGA,Fox,Wario,Winners Round 2,11/15/2017
McFly,MaybeBrady,Cloud,Cloud,Winners Round 3,11/15/2017
Pauleke,Correian,Lucas,Fox,Winners Round 3,11/15/2017
Zobac,Amrit,Diddy Kong,King Dedede,Winners Semis,11/15/2017
Swan,QuackAttack,Captain Falcon,Little Mac,Winners Semis,11/15/2017
Zobac,Swan,Diddy Kong,Captain Falcon,Grand Finals,11/15/2017
QuackAttack,Amrit,Little Mac,King Dedede,Losers Semis,11/15/2017
Retrobot0,Amrit,ROB,King Dedede,Losers Quarters,11/15/2017
QuackAttack,McFly,Little Mac,Cloud,Losers Quarters,11/15/2017
Retrobot0,Sillody,ROB,Kirby,Losers Eighths,11/15/2017
cod,McFly,Bowser,Charizard,Losers Eighths,11/15/2017
Swan,Zobac,Captain Falcon,Diddy Kong,Winners Finals,11/15/2017
Shazamitylam,Zain,FCorrin,Cloud,Winners Round 1,11/15/2017
Pauleke,Amrit,Lucas,King Dedede,Winners Round 4,11/15/2017
